date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:28:56	22640/22640	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Mar%202018%2006:40:06%20GMT	https://preview.colorlib.com/theme/appy/	C:/My%20Web%20Sites/mobile_recharge/preview.colorlib.com/theme/appy/index.html	(from )
12:28:56	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
12:28:57	13637/13637	---M--	200	added ('OK')	image/png	etag:%223545-5665427688300%22	https://preview.colorlib.com/theme/appy/images/apple-touch-icon.png	C:/My%20Web%20Sites/mobile_recharge/preview.colorlib.com/theme/appy/images/apple-touch-icon.png	(from https://preview.colorlib.com/theme/appy/)
12:28:57	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-5665429bb9ac0%22	https://preview.colorlib.com/theme/appy/images/favicon.ico	C:/My%20Web%20Sites/mobile_recharge/preview.colorlib.com/theme/appy/images/favicon.ico	(from https://preview.colorlib.com/theme/appy/)
12:28:58	15396/15396	---M-Z	200	added ('OK')	text/css	etag:%223c24-5c1f9a563584d-gzip%22	https://preview.colorlib.com/theme/appy/css/bootstrap.min.css	C:/My%20Web%20Sites/mobile_recharge/preview.colorlib.com/theme/appy/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/appy/)
12:28:58	4520/4520	---M-Z	200	added ('OK')	text/css	etag:%2211a8-5c1f9a563584d-gzip%22	https://preview.colorlib.com/theme/appy/css/owl.carousel.min.css	C:/My%20Web%20Sites/mobile_recharge/preview.colorlib.com/theme/appy/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/appy/)
12:28:59	1574/1574	---M-Z	200	added ('OK')	text/css	etag:%22626-5c1f9a563584d-gzip%22	https://preview.colorlib.com/theme/appy/css/linearicons.css	C:/My%20Web%20Sites/mobile_recharge/preview.colorlib.com/theme/appy/css/linearicons.css	(from https://preview.colorlib.com/theme/appy/)
12:28:59	4213/4213	---M-Z	200	added ('OK')	text/css	etag:%221075-5c1f9a563584d-gzip%22	https://preview.colorlib.com/theme/appy/css/magnific-popup.css	C:/My%20Web%20Sites/mobile_recharge/preview.colorlib.com/theme/appy/css/magnific-popup.css	(from https://preview.colorlib.com/theme/appy/)
12:29:00	29365/29365	---M-Z	200	added ('OK')	text/css	etag:%2272b5-5c1f9a563584d-gzip%22	https://preview.colorlib.com/theme/appy/css/animate.css	C:/My%20Web%20Sites/mobile_recharge/preview.colorlib.com/theme/appy/css/animate.css	(from https://preview.colorlib.com/theme/appy/)
12:29:00	6571/6571	---M-Z	200	added ('OK')	text/css	etag:%2219ab-5c1f9a563584d-gzip%22	https://preview.colorlib.com/theme/appy/css/normalize.css	C:/My%20Web%20Sites/mobile_recharge/preview.colorlib.com/theme/appy/css/normalize.css	(from https://preview.colorlib.com/theme/appy/)
